subclass,skill_group,skill,skill_level,skill_number,branches_from
Berserker,Barter,Haggle,,0,
Berserker,Barter,Value,,0,
Berserker,Combat,Archery,,0,
Berserker,Combat,Backstab,,0,
Berserker,Combat,Bash,advanced,3,
Berserker,Combat,Blind Fighting,advanced,3,
Berserker,Combat,Blowgun Use,,0,
Berserker,Combat,Charge,,0,
Berserker,Combat,Crossbow Use,,0,
Berserker,Combat,Disarm,advanced,3,
Berserker,Combat,Dual Wield,,0,
Berserker,Combat,Flee,,0,
Berserker,Combat,Guarding,,0,
Berserker,Combat,Hack,,0,
Berserker,Combat,Kick,advanced,3,
Berserker,Combat,Parry,,0,
Berserker,Combat,Rescue,,0,
Berserker,Combat,Riposte,,0,
Berserker,Combat,Sap,,0,
Berserker,Combat,Shield Use,,0,
Berserker,Combat,Sling Use,,0,
Berserker,Combat,Subdue,advanced,3,
Berserker,Combat,Threaten,advanced,3,
Berserker,Combat,Throw,,0,
Berserker,Combat,Two Handed,,0,
Berserker,Craft,Armor Making,,0,
Berserker,Craft,Armor Repair,,0,
Berserker,Craft,Axe Making,,0,
Berserker,Craft,Bandage Making,,0,
Berserker,Craft,Basketweaving,,0,
Berserker,Craft,Bow Making,,0,
Berserker,Craft,Brew,,0,
Berserker,Craft,Clayworking,,0,
Berserker,Craft,Clothworking,,0,
Berserker,Craft,Club Making,,0,
Berserker,Craft,Cooking,,0,
Berserker,Craft,Dyeing,,0,
Berserker,Craft,Feather Working,,0,
Berserker,Craft,Fletchery,,0,
Berserker,Craft,Floristry,,0,
Berserker,Craft,Instrument Making,,0,
Berserker,Craft,Jewelry Making,,0,
Berserker,Craft,Knife Making,,0,
Berserker,Craft,Leatherworking,,0,
Berserker,Craft,Lumberjacking,,0,
Berserker,Craft,Pick Making,,0,
Berserker,Craft,Spear Making,,0,
Berserker,Craft,Stonecrafting,,0,
Berserker,Craft,Sword Making,,0,
Berserker,Craft,Tanning,,0,
Berserker,Craft,Tent Making,,0,
Berserker,Craft,Tool Making,,0,
Berserker,Craft,Wagon Making,,0,
Berserker,Craft,Woodworking,,0,
Berserker,Language,Allundean,,0,
Berserker,Language,Bendune,,0,
Berserker,Language,Cavilish,,0,
Berserker,Language,Mirukkium,,0,
Berserker,Language,Tribal Accent,,0,
Berserker,Manipulation,Bandage,,0,
Berserker,Manipulation,Pick,,0,
Berserker,Manipulation,Pilot,,0,
Berserker,Manipulation,Poisoning,,0,
Berserker,Manipulation,Ride,,0,
Berserker,Manipulation,Skinning,,0,
Berserker,Manipulation,Sleight of Hand,,0,
Berserker,Manipulation,Steal,,0,
Berserker,Perception,Direction Sense,,0,
Berserker,Perception,Forage,,0,
Berserker,Perception,Hunt (city),,0,
Berserker,Perception,Hunt (wilderness),,0,
Berserker,Perception,Listen (city),,0,
Berserker,Perception,Listen (wilderness),,0,
Berserker,Perception,Peek,,0,
Berserker,Perception,Scan,,0,
Berserker,Perception,Search,,0,
Berserker,Perception,Watch,,0,
Berserker,Perk,Alcohol Tolerance Perk,,0,
Berserker,Perk,Better Movement Regeneration,,0,
Berserker,Perk,City Forage,,0,
Berserker,Perk,City Hunt,,0,
Berserker,Perk,City Stealth,,0,
Berserker,Perk,Customcraft,,0,
Berserker,Perk,Hitch 2 Mounts,,0,
Berserker,Perk,Learn Languages Perk,,0,
Berserker,Perk,Learn Ride Faster,,0,
Berserker,Perk,Pain Tolerance Perk,,0,
Berserker,Perk,Tame Mounts,,0,
Berserker,Perk,Wilderness Forage,,0,
Berserker,Perk,Wilderness Hunt,,0,
Berserker,Perk,Wilderness Quit,,0,
Berserker,Perk,Wilderness Stealth,,0,
Berserker,Stealth,Climb,,0,
Berserker,Stealth,Hide (city),,0,
Berserker,Stealth,Hide (wilderness),,0,
Berserker,Stealth,Sneak (city),,0,
Berserker,Stealth,Sneak (wilderness),,0,
Berserker,Weapon,Bludgeoning Weapons,,0,
Berserker,Weapon,Chopping Weapons,advanced,3,
Berserker,Weapon,Piercing Weapons,,0,
Berserker,Weapon,Slashing Weapons,,0,
