classcombo,advantage,competency,Alcohol.Tolerance.Perk,Allundean,Archery,Armor.Making,Armor.Repair,Axe.Making,Backstab,Bandage,Bandage.Making,Bash,Basketweaving,Bendune,Better.Movement.Regeneration,Blind.Fighting,Blowgun.Use,Bludgeoning.Weapons,Bow.Making,Brew,Cavilish,Charge,Chopping.Weapons,City.Forage,City.Hunt,City.Stealth,Clayworking,Climb,Clothworking,Club.Making,Cooking,Crossbow.Use,Customcraft,Direction.Sense,Disarm,Dual.Wield,Dyeing,Feather.Working,Flee,Fletchery,Floristry,Forage,Guarding,Hack,Haggle,Hide.city,Hide.wilderness,Hitch.2.Mounts,Hunt.city,Hunt.wilderness,Instrument.Making,Jewelry.Making,Kick,Knife.Making,Learn.Languages.Perk,Learn.Ride.Faster,Leatherworking,Listen.city,Listen.wilderness,Lumberjacking,Mirukkium,Pain.Tolerance.Perk,Parry,Peek,Pick,Pick.Making,Piercing.Weapons,Pilot,Poisoning,Rescue,Ride,Riposte,Sap,Scan,Search,Shield.Use,Skinning,Slashing.Weapons,Sleight.of.Hand,Sling.Use,Sneak.city,Sneak.wilderness,Spear.Making,Steal,Stonecrafting,Subdue,Sword.Making,Tame.Mounts,Tanning,Tent.Making,Threaten,Throw,Tool.Making,Tribal.Accent,Two.Handed,Value,Wagon.Making,Watch,Wilderness.Forage,Wilderness.Hunt,Wilderness.Quit,Wilderness.Stealth,Woodworking
Adventurer Archer,Wilderness,Light mercantile,0,0,4,0,4,0,0,3,4,0,0,0,1,0,0,2,4,4,0,0,0,0,0,0,0,3,0,0,4,4,0,3,0,3,3,3,2,4,4,3,0,0,0,0,3,1,0,3,0,0,0,4,0,0,4,0,0,4,0,0,2,0,0,0,2,4,0,3,3,0,0,3,3,2,4,0,0,0,0,3,4,0,0,0,0,1,4,4,0,0,4,0,3,0,0,0,1,1,1,1,0
Adventurer Armormaker,Wilderness,Light mercantile,0,0,3,4,4,0,0,3,4,0,0,0,1,0,0,2,4,4,0,0,0,0,0,0,0,3,0,0,4,3,0,3,0,3,3,0,2,4,4,3,0,0,3,0,3,1,0,3,0,0,0,4,0,0,4,0,0,4,0,0,2,0,0,0,2,4,0,3,3,0,0,3,3,2,4,0,0,0,0,3,4,0,0,0,0,1,4,4,0,0,4,0,3,3,0,0,1,1,1,1,0
Adventurer Bandit,Wilderness,Light mercantile,0,0,3,0,4,0,0,3,4,0,0,0,1,0,0,2,4,4,0,3,0,0,0,0,0,3,0,0,4,3,0,3,0,3,0,0,2,4,4,3,0,0,0,0,4,1,0,3,0,0,0,4,0,0,4,0,0,4,0,0,2,0,0,0,2,4,0,3,4,0,0,3,3,2,4,0,0,0,0,3,4,0,0,0,0,1,4,4,3,0,4,0,3,0,0,0,1,1,1,1,0
Adventurer Bard,Wilderness,Light mercantile,0,0,3,0,4,0,0,3,4,0,0,0,1,0,0,2,4,4,0,0,0,0,0,0,0,3,0,0,4,3,0,3,0,3,0,0,2,4,4,3,0,0,3,0,3,1,0,3,4,0,0,4,1,0,4,3,0,4,0,0,2,0,0,0,2,4,0,3,3,0,0,4,3,2,4,0,3,0,0,3,4,3,0,0,0,1,4,4,0,0,4,0,3,0,0,3,1,1,1,1,0
Adventurer Berserker,Wilderness,Light mercantile,0,0,3,0,4,0,0,3,4,3,0,0,1,3,0,2,4,4,0,0,3,0,0,0,0,3,0,0,4,3,0,3,3,3,0,0,2,4,4,3,0,0,0,0,3,1,0,3,0,0,3,4,0,0,4,0,0,4,0,0,2,0,0,0,2,4,0,3,3,0,0,3,3,2,4,0,0,0,0,3,4,0,0,3,0,1,4,4,3,0,4,0,3,0,0,0,1,1,1,1,0
Adventurer Bounty.Hunter,Wilderness,Light mercantile,0,0,3,0,4,0,0,3,4,0,0,0,1,0,0,2,4,4,0,0,0,0,1,0,0,3,0,0,4,3,0,3,0,3,0,0,2,4,4,3,0,0,0,0,3,1,3,3,0,0,0,4,0,0,4,3,3,4,0,0,2,0,0,0,2,4,0,3,3,0,3,3,3,2,4,0,0,0,0,3,4,0,0,3,0,1,4,4,0,0,4,0,3,0,0,0,1,1,1,1,0
Adventurer Bruiser,Wilderness,Light mercantile,0,0,3,0,4,0,0,3,4,3,0,0,1,3,0,3,4,4,0,0,0,0,0,0,0,3,0,0,4,3,0,3,3,3,0,0,2,4,4,3,0,0,0,0,3,1,0,3,0,0,3,4,0,0,4,0,0,4,0,0,2,0,0,0,2,4,0,3,3,0,0,3,3,2,4,0,0,0,0,3,4,0,0,3,0,1,4,4,3,0,4,0,3,0,0,0,1,1,1,1,0
Adventurer Caravan.Guide,Wilderness,Light mercantile,0,0,3,0,4,0,0,3,4,0,0,4,1,0,0,2,4,4,3,0,0,0,0,0,0,3,0,0,4,3,0,3,0,3,0,0,2,4,4,3,0,0,0,0,3,1,0,3,0,0,0,4,0,0,4,0,0,4,0,0,2,0,0,0,2,4,0,3,3,0,0,3,3,2,4,0,0,0,0,3,4,0,0,0,0,1,4,4,0,0,4,0,3,3,0,0,1,1,1,1,0
Adventurer Con.Artist,Wilderness,Light mercantile,0,0,3,0,4,0,0,3,4,0,0,0,1,0,0,2,4,4,0,0,0,0,0,1,0,3,0,0,4,3,0,3,0,3,0,0,4,4,4,3,0,0,3,3,3,1,0,3,0,0,0,4,0,0,4,3,0,4,0,0,2,3,0,0,2,4,0,3,3,0,0,3,3,2,4,0,4,0,0,3,4,0,0,0,0,1,4,4,0,0,4,0,3,3,0,3,1,1,1,1,0
Adventurer Crafter,Wilderness,Light mercantile,0,0,3,0,4,0,0,3,4,0,4,0,1,0,0,2,4,4,0,0,0,0,0,0,4,3,0,0,4,3,0,3,0,3,4,0,2,4,4,3,0,0,3,0,3,1,0,3,0,0,0,4,0,0,4,0,0,4,0,0,2,0,0,0,2,4,0,3,3,0,0,3,3,2,4,0,0,0,0,3,4,0,4,0,0,1,4,4,0,0,4,0,3,3,0,0,1,1,1,1,0
